postbox_osm_id,postbox_lat,postbox_lon,postbox_tags,mapillary_image_id,image_path,image_lat,image_lon,compass_angle,captured_at_epoch_ms,bearing_diff_deg
node/298094780,52.4843978,13.3849125,"{""amenity"": ""post_box"", ""check_date"": ""2025-10-24"", ""check_date:collection_times"": ""2025-10-24"", ""collection_times"": ""Mo-Fr 18:00; Sa 13:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Manfred-von-Richthofen-Str. 2, 12101 Berlin""}",107285061707731,images_filtered/postbox_node_298094780_img_107285061707731.jpg,52.48424137846,13.384861100532,347.39767456055,1636545565520,23.9
node/301997312,52.455601,13.3702667,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-02-15"", ""collection_times"": ""Mo-Fr 17:15; Sa 14:30"", ""colour"": ""yellow"", ""direction"": ""5"", ""material"": ""metal"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Arnulfstr. 89, 12105 Berlin"", ""support"": ""pole""}",1059604331197095,images_filtered/postbox_node_301997312_img_1059604331197095.jpg,52.455630555556,13.369905555556,92,1461410846000,5.6
node/301780848,52.4175957,13.3323019,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:30; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Scheelestr./Hildburghauser Str., 12209 Berlin""}",1664470074034593,images_filtered/postbox_node_301780848_img_1664470074034593.jpg,52.4177863,13.3318775,106.631,1687272786000,19.7
node/304001470,52.5305508,13.4558959,"{""amenity"": ""post_box"", ""check_date"": ""2021-06-21"", ""check_date:collection_times"": ""2023-11-24"", ""collection_times"": ""Mo-Fr 17:00; Sa 12:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""postal_code"": ""10407"", ""ref"": ""Storkower Str. 158, 10407 Berlin"", ""support"": ""pole""}",112608384231281,images_filtered/postbox_node_304001470_img_112608384231281.jpg,52.53057099418,13.456225041313,321.04272020505,1594032157251,56.8
node/306431405,52.4526332,13.2867306,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2024-01-04"", ""collection_times"": ""Mo-Fr 15:30; Sa 13:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Thielallee/Otto-von-Simson-Str., 14195 Berlin""}",1395718188406330,images_filtered/postbox_node_306431405_img_1395718188406330.jpg,52.4527998,13.2863675,144.817,1743938968000,17.8
node/305044989,52.4742125,13.445722,"{""access"": ""yes"", ""addr:floor"": ""0"", ""amenity"": ""post_box"", ""check_date"": ""2024-12-20"", ""collection_times"": ""Mo-Fr 14:00,16:15; Sa 14:30"", ""colour"": ""yellow"", ""covered"": ""no"", ""indoor"": ""no"", ""level"": ""0"", ""material"": ""steel"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""postal_code"": ""12055"", ""ref"": ""Richardplatz, 12055 Berlin"", ""source"": ""survey"", ""support"": ""pole""}",1025354517996632,images_filtered/postbox_node_305044989_img_1025354517996632.jpg,52.474331022289,13.445797786129,254.50451405832,1605950240366,53.2
node/306457405,52.4993491,13.3073891,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-08-26"", ""collection_times"": ""Mo-Fr 15:45; Sa 16:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""postal_code"": ""10707"", ""ref"": ""Brandenburgische Str. 32, 10707 Berlin""}",1075653037730070,images_filtered/postbox_node_306457405_img_1075653037730070.jpg,52.49909,13.307334,343,1726034484391,24.4
node/307830386,52.5324153,13.4238571,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2025-01-20"", ""collection_times"": ""Mo-Fr 15:15,17:15; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Winsstr. 65, 10405 Berlin"", ""wheelchair"": ""limited""}",140070714720474,images_filtered/postbox_node_307830386_img_140070714720474.jpg,52.532224827495,13.423720523728,37.840827654486,1604560582749,14.3
node/309846182,52.4791803,13.286035,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 18:00; Sa 13:00; Su 09:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Kissinger Str. 1-2, 14199 Berlin"", ""wheelchair"": ""yes""}",1088041065021132,images_filtered/postbox_node_309846182_img_1088041065021132.jpg,52.478960399972,13.286045899972,0,1557842938000,1.7
node/310377182,52.4833485,13.3451885,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:30; Sa 16:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Martin-Luther-Str. 105, 10825 Berlin""}",1119867655491403,images_filtered/postbox_node_310377182_img_1119867655491403.jpg,52.483211099972,13.3449901,0,1640533079000,41.3
