osm_id,lat,lon,tags
node/267630577,52.5001329,13.4435785,"{""amenity"": ""post_box"", ""check_date"": ""2026-09-13"", ""check_date:collection_times"": ""2026-09-13"", ""collection_times"": ""Mo-Fr 17:00; Sa 14:00"", ""colour"": ""yellow"", ""drive_through"": ""no"", ""material"": ""metal"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""postal_code"": ""10997"", ""ref"": ""Schlesische Str. 8, 10997 Berlin"", ""support"": ""pole"", ""wheelchair"": ""limited""}"
node/268859410,52.4639836,13.5179372,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 14:45; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""lamp"", ""ref"": ""Griechische Allee 22, 12459 Berlin"", ""support"": ""pole""}"
node/268981801,52.5002423,13.4008774,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:30; Sa 14:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Alexandrinenstr. 122, 10969 Berlin""}"
node/269668603,52.5093298,13.4483292,"{""amenity"": ""post_box"", ""check_date"": ""2026-03-19"", ""check_date:collection_times"": ""2026-03-19"", ""collection_times"": ""Mo-Fr 17:45; Sa 12:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Marchlewskistr. 95, 10243 Berlin""}"
node/268981762,52.5053284,13.4053406,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:00, Sa 13:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""postal_code"": ""10969"", ""ref"": ""Alexandrinenstraße 90, 10969 Berlin""}"
node/268981831,52.4948952,13.4149576,"{""amenity"": ""post_box"", ""check_date"": ""2026-07-08"", ""check_date:collection_times"": ""2026-07-08"", ""collection_times"": ""Mo-Fr 15:00; Sa 14:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""lamp"", ""postal_code"": ""10967"", ""ref"": ""Planufer 87, 10967 Berlin""}"
node/270727256,52.5433787,13.3755473,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2024-08-24"", ""collection_times"": ""Mo-Fr 17:00; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Gerichtstr. 12, 13347 Berlin""}"
node/270814735,52.427653,13.2149394,"{""amenity"": ""post_box"", ""check_date"": ""2024-11-20"", ""collection_times"": ""Mo-Fr 16:00; Sa 14:15; Su,PH off"", ""colour"": ""#e2a300"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""post_box:type"": ""lamp"", ""ref"": ""Potsdamer Chaussee 33, 14129 Berlin"", ""support"": ""post""}"
node/270957770,52.5519971,13.3668721,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2025-04-09"", ""collection_times"": ""Mo-Fr 15:00; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Reinickendorfer Str. 71, 13347 Berlin""}"
node/271288585,52.4932599,13.3835202,"{""amenity"": ""post_box"", ""check_date"": ""2025-04-14"", ""check_date:collection_times"": ""2025-04-14"", ""collection_times"": ""Mo-Fr 15:45; Sa 14:00"", ""colour"": ""yellow"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""ref"": ""Großbeerenstr. 61, 10965 Berlin"", ""support"": ""pole""}"
node/271400529,52.5372033,13.1898285,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Borkzeile 7, 13583 Berlin""}"
node/271411058,52.49585,13.2684275,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Eichkampstr./Lärchenweg, 14055 Berlin""}"
node/269477888,52.5084707,13.4147011,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-08-12"", ""collection_times"": ""Mo-Fr 17:00; Sa 14:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Heinrich-Heine-Str. 13, 1179 Berlin""}"
node/271419840,52.5258504,13.3085076,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:30; Sa 14:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Kaiserin-Augusta-Allee 45, 10589 Berlin""}"
node/271419828,52.5125173,13.2817695,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:30; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Königin-Elisabeth-Str. 24, 14059 Berlin""}"
node/271419846,52.525868,13.3163909,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:15; Sa 12:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Kaiserin-Augusta-Allee 30, 10553 Berlin""}"
node/271419849,52.5288613,13.3174775,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:30; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Huttenstr. 26, 10553 Berlin""}"
node/271713665,52.5362896,13.2018337,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-08-26"", ""collection_times"": ""Mo-Fr 16:30; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Carl-Schurz-Str. 17, 13597 Berlin""}"
